pt range	total	half	sum	chiso
20~400		53	26.5	27	7.964
20~400		53	26.5	27	7.9643
20~400		53	26.5	27	7.9646
20~400		53	26.5	27	7.9649
20~400		53	26.5	27	7.9652
20~400		53	26.5	27	7.9655
20~400		53	26.5	27	7.9658
20~400		53	26.5	27	7.9661
20~400		53	26.5	27	7.9664
20~400		53	26.5	27	7.9667
20~400		53	26.5	27	7.967
20~400		53	26.5	27	7.9673
20~400		53	26.5	27	7.9676
20~400		53	26.5	27	7.9679
20~400		53	26.5	27	7.9682
20~400		53	26.5	27	7.9685
20~400		53	26.5	27	7.9688
20~400		53	26.5	27	7.9691
20~400		53	26.5	27	7.9694
20~400		53	26.5	27	7.9697
20~400		53	26.5	27	7.97
20~400		53	26.5	27	7.9703
20~400		53	26.5	27	7.9706
20~400		53	26.5	27	7.9709
20~400		53	26.5	27	7.9712
20~400		53	26.5	27	7.9715
20~400		53	26.5	27	7.9718
20~400		53	26.5	27	7.9721
20~400		53	26.5	27	7.9724
20~400		53	26.5	27	7.9727
20~400		53	26.5	27	7.973
20~400		53	26.5	27	7.9733
20~400		53	26.5	27	7.9736
20~400		53	26.5	27	7.9739
20~400		53	26.5	27	7.9742
20~400		53	26.5	27	7.9745
20~400		53	26.5	27	7.9748
20~400		53	26.5	27	7.9751
20~400		53	26.5	27	7.9754
20~400		53	26.5	27	7.9757
20~400		53	26.5	27	7.976
20~400		53	26.5	27	7.9763
20~400		53	26.5	27	7.9766
20~400		53	26.5	27	7.9769
20~400		53	26.5	27	7.9772
20~400		53	26.5	27	7.9775
20~400		53	26.5	27	7.9778
20~400		53	26.5	27	7.9781
20~400		53	26.5	27	7.9784
20~400		53	26.5	27	7.9787
20~400		53	26.5	27	7.979
20~400		53	26.5	27	7.9793
20~400		53	26.5	27	7.9796
20~400		53	26.5	27	7.9799
20~400		53	26.5	27	7.9802
20~400		53	26.5	27	7.9805
20~400		53	26.5	27	7.9808
20~400		53	26.5	27	7.9811
20~400		53	26.5	27	7.9814
20~400		53	26.5	27	7.9817
20~400		53	26.5	27	7.982
20~400		53	26.5	27	7.9823
20~400		53	26.5	27	7.9826
20~400		53	26.5	27	7.9829
20~400		53	26.5	27	7.9832
20~400		53	26.5	27	7.9835
20~400		53	26.5	27	7.9838
20~400		53	26.5	27	7.9841
20~400		53	26.5	27	7.9844
20~400		53	26.5	27	7.9847
20~400		53	26.5	27	7.985
20~400		53	26.5	27	7.9853
20~400		53	26.5	27	7.9856
20~400		53	26.5	27	7.9859
20~400		53	26.5	27	7.9862
20~400		53	26.5	27	7.9865
20~400		53	26.5	27	7.9868
20~400		53	26.5	27	7.9871
20~400		53	26.5	27	7.9874
20~400		53	26.5	27	7.9877
20~400		53	26.5	27	7.988
20~400		53	26.5	27	7.9883
20~400		53	26.5	27	7.9886
20~400		53	26.5	27	7.9889
20~400		53	26.5	27	7.9892
20~400		53	26.5	27	7.9895
20~400		53	26.5	27	7.9898
20~400		53	26.5	27	7.9901
20~400		53	26.5	27	7.9904
20~400		53	26.5	27	7.9907
20~400		53	26.5	27	7.991
20~400		53	26.5	27	7.9913
20~400		53	26.5	27	7.9916
20~400		53	26.5	27	7.9919
20~400		53	26.5	27	7.9922
20~400		53	26.5	27	7.9925
20~400		53	26.5	27	7.9928
20~400		53	26.5	27	7.9931
20~400		53	26.5	27	7.9934
20~400		53	26.5	27	7.9937
20~400		53	26.5	27	7.994
20~400		53	26.5	27	7.9943
20~400		53	26.5	27	7.9946
20~400		53	26.5	27	7.9949
20~400		53	26.5	27	7.9952
20~400		53	26.5	27	7.9955
20~400		53	26.5	27	7.9958
20~400		53	26.5	27	7.9961
20~400		53	26.5	27	7.9964
20~400		53	26.5	27	7.9967
20~400		53	26.5	27	7.997
20~400		53	26.5	27	7.9973
20~400		53	26.5	27	7.9976
20~400		53	26.5	27	7.9979
20~400		53	26.5	27	7.9982
20~400		53	26.5	27	7.9985
20~400		53	26.5	27	7.9988
20~400		53	26.5	27	7.9991
20~400		53	26.5	27	7.9994
20~400		53	26.5	27	7.9997
20~400		53	26.5	27	8
20~400		53	26.5	27	8.0003
20~400		53	26.5	27	8.0006
20~400		53	26.5	27	8.0009
20~400		53	26.5	27	8.0012
20~400		53	26.5	27	8.0015
20~400		53	26.5	27	8.0018
20~400		53	26.5	27	8.0021
20~400		53	26.5	27	8.0024
20~400		53	26.5	27	8.0027
20~400		53	26.5	27	8.003
20~400		53	26.5	27	8.0033
20~400		53	26.5	27	8.0036
20~400		53	26.5	27	8.0039
20~400		53	26.5	27	8.0042
20~400		53	26.5	27	8.0045
20~400		53	26.5	27	8.0048
20~400		53	26.5	27	8.0051
20~400		53	26.5	27	8.0054
20~400		53	26.5	27	8.0057
20~400		53	26.5	27	8.006
20~400		53	26.5	27	8.0063
20~400		53	26.5	27	8.0066
20~400		53	26.5	27	8.0069
20~400		53	26.5	27	8.0072
20~400		53	26.5	27	8.0075
20~400		53	26.5	27	8.0078
20~400		53	26.5	27	8.0081
20~400		53	26.5	27	8.0084
20~400		53	26.5	27	8.0087
20~400		53	26.5	27	8.009
20~400		53	26.5	27	8.0093
20~400		53	26.5	27	8.0096
20~400		53	26.5	27	8.0099
20~400		53	26.5	27	8.0102
20~400		53	26.5	27	8.0105
20~400		53	26.5	27	8.0108
20~400		53	26.5	27	8.0111
20~400		53	26.5	27	8.0114
20~400		53	26.5	27	8.0117
20~400		53	26.5	27	8.012
20~400		53	26.5	27	8.0123
20~400		53	26.5	27	8.0126
20~400		53	26.5	27	8.0129
20~400		53	26.5	27	8.0132
20~400		53	26.5	27	8.0135
20~400		53	26.5	27	8.0138
20~400		53	26.5	27	8.0141
20~400		53	26.5	27	8.0144
20~400		53	26.5	27	8.0147
20~400		53	26.5	27	8.015
20~400		53	26.5	27	8.0153
20~400		53	26.5	27	8.0156
20~400		53	26.5	27	8.0159
20~400		53	26.5	27	8.0162
20~400		53	26.5	27	8.0165
20~400		53	26.5	27	8.0168
20~400		53	26.5	27	8.0171
20~400		53	26.5	27	8.0174
20~400		53	26.5	27	8.0177
20~400		53	26.5	27	8.018
20~400		53	26.5	27	8.0183
20~400		53	26.5	27	8.0186
20~400		53	26.5	27	8.0189
20~400		53	26.5	27	8.0192
20~400		53	26.5	27	8.0195
20~400		53	26.5	27	8.0198
20~400		53	26.5	27	8.0201
20~400		53	26.5	27	8.0204
20~400		53	26.5	27	8.0207
20~400		53	26.5	27	8.021
20~400		53	26.5	27	8.0213
20~400		53	26.5	27	8.0216
20~400		53	26.5	27	8.0219
20~400		53	26.5	27	8.0222
20~400		53	26.5	27	8.0225
20~400		53	26.5	27	8.0228
20~400		53	26.5	27	8.0231
20~400		53	26.5	27	8.0234
20~400		53	26.5	27	8.0237
20~400		53	26.5	27	8.024
20~400		53	26.5	27	8.0243
20~400		53	26.5	27	8.0246
20~400		53	26.5	27	8.0249
20~400		53	26.5	27	8.0252
20~400		53	26.5	27	8.0255
20~400		53	26.5	27	8.0258
20~400		53	26.5	27	8.0261
20~400		53	26.5	27	8.0264
20~400		53	26.5	27	8.0267
20~400		53	26.5	27	8.027
20~400		53	26.5	27	8.0273
20~400		53	26.5	27	8.0276
20~400		53	26.5	27	8.0279
20~400		53	26.5	27	8.0282
20~400		53	26.5	27	8.0285
20~400		53	26.5	27	8.0288
20~400		53	26.5	27	8.0291
20~400		53	26.5	27	8.0294
20~400		53	26.5	27	8.0297
20~400		53	26.5	27	8.03
20~400		53	26.5	27	8.0303
20~400		53	26.5	27	8.0306
20~400		53	26.5	27	8.0309
20~400		53	26.5	27	8.0312
20~400		53	26.5	27	8.0315
20~400		53	26.5	27	8.0318
20~400		53	26.5	27	8.0321
20~400		53	26.5	27	8.0324
20~400		53	26.5	27	8.0327
20~400		53	26.5	27	8.033
20~400		53	26.5	27	8.0333
20~400		53	26.5	27	8.0336
20~400		53	26.5	27	8.0339
20~400		53	26.5	27	8.0342
20~400		53	26.5	27	8.0345
20~400		53	26.5	27	8.0348
20~400		53	26.5	27	8.0351
20~400		53	26.5	27	8.0354
20~400		53	26.5	27	8.0357
20~400		53	26.5	27	8.036
20~400		53	26.5	27	8.0363
20~400		53	26.5	27	8.0366
20~400		53	26.5	27	8.0369
20~400		53	26.5	27	8.0372
20~400		53	26.5	27	8.0375
20~400		53	26.5	27	8.0378
20~400		53	26.5	27	8.0381
20~400		53	26.5	27	8.0384
20~400		53	26.5	27	8.0387
20~400		53	26.5	27	8.039
20~400		53	26.5	27	8.0393
20~400		53	26.5	27	8.0396
20~400		53	26.5	27	8.0399
20~400		53	26.5	27	8.0402
20~400		53	26.5	27	8.0405
20~400		53	26.5	27	8.0408
20~400		53	26.5	27	8.0411
20~400		53	26.5	27	8.0414
20~400		53	26.5	27	8.0417
20~400		53	26.5	27	8.042
20~400		53	26.5	27	8.0423
20~400		53	26.5	27	8.0426
20~400		53	26.5	27	8.0429
20~400		53	26.5	27	8.0432
20~400		53	26.5	27	8.0435
20~400		53	26.5	27	8.0438
20~400		53	26.5	27	8.0441
20~400		53	26.5	27	8.0444
20~400		53	26.5	27	8.0447
20~400		53	26.5	27	8.045
20~400		53	26.5	27	8.0453
20~400		53	26.5	27	8.0456
20~400		53	26.5	27	8.0459
20~400		53	26.5	27	8.0462
20~400		53	26.5	27	8.0465
20~400		53	26.5	27	8.0468
20~400		53	26.5	27	8.0471
20~400		53	26.5	27	8.0474
20~400		53	26.5	27	8.0477
20~400		53	26.5	27	8.048
20~400		53	26.5	27	8.0483
20~400		53	26.5	27	8.0486
20~400		53	26.5	27	8.0489
20~400		53	26.5	27	8.0492
20~400		53	26.5	27	8.0495
20~400		53	26.5	27	8.0498
20~400		53	26.5	27	8.0501
20~400		53	26.5	27	8.0504
20~400		53	26.5	27	8.0507
20~400		53	26.5	27	8.051
20~400		53	26.5	27	8.0513
20~400		53	26.5	27	8.0516
20~400		53	26.5	27	8.0519
20~400		53	26.5	27	8.0522
20~400		53	26.5	27	8.0525
20~400		53	26.5	27	8.0528
20~400		53	26.5	27	8.0531
20~400		53	26.5	27	8.0534
20~400		53	26.5	27	8.0537
20~400		53	26.5	27	8.054
20~400		53	26.5	27	8.0543
20~400		53	26.5	27	8.0546
20~400		53	26.5	27	8.0549
20~400		53	26.5	27	8.0552
20~400		53	26.5	27	8.0555
20~400		53	26.5	27	8.0558
20~400		53	26.5	27	8.0561
20~400		53	26.5	27	8.0564
20~400		53	26.5	27	8.0567
20~400		53	26.5	27	8.057
20~400		53	26.5	27	8.0573
20~400		53	26.5	27	8.0576
20~400		53	26.5	27	8.0579
20~400		53	26.5	27	8.0582
20~400		53	26.5	27	8.0585
20~400		53	26.5	27	8.0588
20~400		53	26.5	27	8.0591
20~400		53	26.5	27	8.0594
20~400		53	26.5	27	8.0597
20~400		53	26.5	27	8.06
20~400		53	26.5	27	8.0603
20~400		53	26.5	27	8.0606
20~400		53	26.5	27	8.0609
20~400		53	26.5	27	8.0612
20~400		53	26.5	27	8.0615
20~400		53	26.5	27	8.0618
20~400		53	26.5	27	8.0621
20~400		53	26.5	27	8.0624
20~400		53	26.5	27	8.0627
20~400		53	26.5	27	8.063
20~400		53	26.5	27	8.0633
20~400		53	26.5	27	8.0636
20~400		53	26.5	27	8.0639
20~400		53	26.5	27	8.0642
20~400		53	26.5	27	8.0645
20~400		53	26.5	27	8.0648
20~400		53	26.5	27	8.0651
20~400		53	26.5	27	8.0654
20~400		53	26.5	27	8.0657
20~400		53	26.5	27	8.066
20~400		53	26.5	27	8.0663
20~400		53	26.5	27	8.0666
20~400		53	26.5	27	8.0669
20~400		53	26.5	27	8.0672
20~400		53	26.5	27	8.0675
20~400		53	26.5	27	8.0678
20~400		53	26.5	27	8.0681
20~400		53	26.5	27	8.0684
20~400		53	26.5	27	8.0687
20~400		53	26.5	27	8.069
20~400		53	26.5	27	8.0693
20~400		53	26.5	27	8.0696
20~400		53	26.5	27	8.0699
20~400		53	26.5	27	8.0702
20~400		53	26.5	27	8.0705
20~400		53	26.5	27	8.0708
