pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
60  <pt<400 	3<chiso range<10 	60.9977	62.9833	8.48147	0.23411
60  <pt<400 	3<chiso range<11 	60.9977	63.0462	8.47662	0.241665
60  <pt<400 	3<chiso range<12 	60.9977	62.8911	8.48846	0.223056
60  <pt<400 	3<chiso range<13 	60.9977	62.9618	8.48315	0.23153
60  <pt<400 	4<chiso range<9 	60.9977	63.3622	8.45529	0.279647
60  <pt<400 	4<chiso range<10 	60.9977	63.0786	8.47343	0.245579
60  <pt<400 	4<chiso range<11 	60.9977	63.1353	8.46893	0.252405
60  <pt<400 	4<chiso range<12 	60.9977	62.9551	8.48319	0.230739
60  <pt<400 	4<chiso range<13 	60.9977	63.0272	8.4777	0.239393
60  <pt<400 	5<chiso range<10 	60.9977	62.7953	8.49678	0.211562
60  <pt<400 	5<chiso range<11 	60.9977	62.9198	8.48701	0.226476
60  <pt<400 	5<chiso range<12 	60.9977	62.7166	8.50242	0.202166
60  <pt<400 	5<chiso range<13 	60.9977	62.8306	8.49392	0.21579
60  <pt<400 	6<chiso range<11 	60.9977	62.7408	8.50153	0.205034
60  <pt<400 	6<chiso range<12 	60.9977	62.5214	8.51864	0.178867
60  <pt<400 	6<chiso range<13 	60.9977	62.6764	8.50636	0.197346
60  <pt<400 	7<chiso range<12 	60.9977	62.3782	8.53065	0.161828
60  <pt<400 	7<chiso range<13 	60.9977	62.5855	8.51192	0.186538
60  <pt<400 	8<chiso range<13 	60.9977	62.5684	8.51637	0.184433
#######################################################################################
